Title,Description,Map Link,Active,Room Location,Asset,Desk Location,Capacity,RoomPicture,Division,POC,VTel,Projector/TV,Smart Board,SecondPOC,Floor,Created By
"Benton Harbor CBOC, RM118",,,1,"Benton Harbor CBOC, RM118",Room,,,,,,,,,,,"lastName, firstName A."
"Benton Harbor CBOC, RM118, Desk 1",,,1,"Benton Harbor CBOC, RM118",Desk,,,,,,,,,,,"lastName, firstName A."
"Benton Harbor CBOC, RM118, Desk 2",,,1,"Benton Harbor CBOC, RM118",Desk,,,,,,,,,,,"lastName, firstName A."
"Benton Harbor CBOC, RM118, Desk 3",,,1,"Benton Harbor CBOC, RM118",Desk,,,,,,,,,,,"lastName, firstName A."
"Benton Harbor CBOC, RM118, Desk 4",,,0,"Benton Harbor CBOC, RM118",Desk,,,,,,,,,,,"lastName, firstName A."
"Benton Harbor CBOC, RM118, Desk 5",,,0,"Benton Harbor CBOC, RM118",Desk,,,,,,,,,,,"lastName, firstName A."
"Benton Harbor CBOC, RM118, Desk 6",,,0,"Benton Harbor CBOC, RM118",Desk,,,,,,,,,,,"lastName, firstName A."
"Benton Harbor CBOC, RM118, Desk 7",,,0,"Benton Harbor CBOC, RM118",Desk,,,,,,,,,,,"lastName, firstName A."
"Benton Harbor CBOC, RM118, Desk 8",,,0,"Benton Harbor CBOC, RM118",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103",,,1,"Wyoming CBOC, RM1M103",Room,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 1",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 2",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 3",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 4",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 5",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 6",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 7",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 8",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 9",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 10",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 11",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 12",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 13",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1M103, Desk 14",,,1,"Wyoming CBOC, RM1M103",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317",,,1,"Bldg. 6, RM317",Room,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 1 ",,,1,"Bldg. 6, RM317 ",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 2",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 3",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 4",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 5",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 6",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 7",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 8",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 9",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
